,0
533,WFC
534,HCN
535,WDC
536,WU
537,WY
538,WHR
539,WFM
540,WMB
541,WLTW
542,WEC
543,WYN
544,WYNN
545,XEL
546,XRX
547,XLNX
548,XL
549,XYL
550,YHOO
551,YUM
552,ZBH
553,ZION
